"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT"
Gimihome.ro,"Cadouri pentru colegi",nobrand,HB-460429,"Set 8 baloane Luna - Auriu si Negru",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F313%2F6191-set-8-baloane-luna-auriu-si-negru.html,http://gimihome.ro/img/p/2/3/6/6/0/23660.jpg,22.82,
Gimihome.ro,"Cadouri pentru colegi",nobrand,HB-CPP24,"Set 6 coifuri culori pastelate",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F313%2F6189-set-6-coifuri-culori-pastelate.html,http://gimihome.ro/img/p/2/3/6/5/8/23658.jpg,11.46,
Gimihome.ro,"Cadouri pentru colegi",nobrand,HB-SB14P-303-000-6,"Set 6 baloane din latex Girls night out",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F313%2F6193-set-6-baloane-din-latex-girls-night-out.html,http://gimihome.ro/img/p/2/3/6/6/2/23662.jpg,10.22,
Gimihome.ro,"Ceas femei",nobrand,BG-S0335045,"Ceas de dama Michael Kors MK3972",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F351%2F6333-ceas-de-dama-michael-kors-mk3972.html,http://gimihome.ro/img/p/2/3/8/0/3/23803.jpg,976.61,
Gimihome.ro,"Ceas femei",nobrand,BG-S0360819,"Ceas de dama Armani AR0174",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F351%2F6332-ceas-de-dama-armani-ar0174.html,http://gimihome.ro/img/p/2/3/8/0/2/23802.jpg,828.59,
Gimihome.ro,"Ceas barbati",nobrand,BG-S0358608,"Ceas barbati Maserati R8873640009",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F350%2F6309-ceas-barbati-maserati-r8873640009.html,http://gimihome.ro/img/p/2/3/7/7/9/23779.jpg,997.89,
Gimihome.ro,"Ceas femei",nobrand,BG-S0335304,"Ceas de dama Armani AR1925",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F351%2F6329-ceas-de-dama-armani-ar1925.html,http://gimihome.ro/img/p/2/3/7/9/9/23799.jpg,807.1,
Gimihome.ro,"Articole pentru petrecere",nobrand,HB-GBN12,"Set 34 baloane pisicuta roz 83x140cm",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F29%2F6422-set-34-baloane-pisicuta-roz-83x140cm.html,http://gimihome.ro/img/p/2/3/8/9/2/23892.jpg,89.01,
Gimihome.ro,"Adaptori scaune auto",KLIPPAN,KLI-305000,"Klippan SHOPPING SEAT",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F302%2F6581-klippan-shopping-seat.html,http://gimihome.ro/img/p/2/4/0/5/2/24052.jpg,484.65,
Gimihome.ro,"Accesorii plimbare",DOOKY,DOOKY-126970,"Carlig pentru carucior Dooky Heart Argintiu Mat",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F126%2F7298-carlig-pentru-carucior-dooky-heart-argintiu-mat.html,http://gimihome.ro/img/p/2/4/7/6/3/24763.jpg,39.15,
